time(s)	,         LorenzX	,          LorenzY		,          LorenzZ		
13.88	,	[-11.43 -16.  ]	,	[-11.43 -16.    24.74]	,	[-11.43 -16.    24.74]
13.89	,	[-11.89 -16.22]	,	[-11.89 -16.22  25.91]	,	[-11.89 -16.22  25.91]
13.9	,	[-12.32 -16.3 ]	,	[-12.32 -16.3   27.15]	,	[-12.32 -16.3   27.15]
13.91	,	[-12.72 -16.25]	,	[-12.72 -16.25  28.43]	,	[-12.72 -16.25  28.43]
13.92	,	[-13.07 -16.03]	,	[-13.07 -16.03  29.74]	,	[-13.07 -16.03  29.74]
13.93	,	[-13.37 -15.64]	,	[-13.37 -15.64  31.04]	,	[-13.37 -15.64  31.04]
13.94	,	[-13.6  -15.08]	,	[-13.6  -15.08  32.31]	,	[-13.6  -15.08  32.31]
13.95	,	[-13.74 -14.34]	,	[-13.74 -14.34  33.49]	,	[-13.74 -14.34  33.49]
13.96	,	[-13.8  -13.44]	,	[-13.8  -13.44  34.57]	,	[-13.8  -13.44  34.57]
13.97	,	[-13.77 -12.4 ]	,	[-13.77 -12.4   35.51]	,	[-13.77 -12.4   35.51]
13.98	,	[-13.63 -11.24]	,	[-13.63 -11.24  36.27]	,	[-13.63 -11.24  36.27]
13.99	,	[-13.39 -10.  ]	,	[-13.39 -10.    36.83]	,	[-13.39 -10.    36.83]
14.0	,	[-13.05  -8.72]	,	[-13.05  -8.72  37.19]	,	[-13.05  -8.72  37.19]
14.01	,	[-12.62  -7.43]	,	[-12.62  -7.43  37.34]	,	[-12.62  -7.43  37.34]
14.02	,	[-12.1   -6.18]	,	[-12.1   -6.18  37.28]	,	[-12.1   -6.18  37.28]
14.03	,	[-11.51  -5.  ]	,	[-11.51  -5.    37.03]	,	[-11.51  -5.    37.03]
14.04	,	[-10.86  -3.91]	,	[-10.86  -3.91  36.62]	,	[-10.86  -3.91  36.62]
14.05	,	[-10.16  -2.93]	,	[-10.16  -2.93  36.07]	,	[-10.16  -2.93  36.07]
14.06	,	[-9.44 -2.08]	,	[-9.44 -2.08 35.4 ]	,	[-9.44 -2.08 35.4 ]
14.07	,	[-8.7  -1.36]	,	[-8.7  -1.36 34.66]	,	[-8.7  -1.36 34.66]
14.08	,	[-7.97 -0.77]	,	[-7.97 -0.77 33.85]	,	[-7.97 -0.77 33.85]
14.09	,	[-7.25 -0.3 ]	,	[-7.25 -0.3  33.01]	,	[-7.25 -0.3  33.01]
14.1	,	[-6.55  0.07]	,	[-6.55  0.07 32.15]	,	[-6.55  0.07 32.15]
14.11	,	[-5.89  0.34]	,	[-5.89  0.34 31.29]	,	[-5.89  0.34 31.29]
14.12	,	[-5.27  0.53]	,	[-5.27  0.53 30.43]	,	[-5.27  0.53 30.43]
14.13	,	[-4.69  0.65]	,	[-4.69  0.65 29.59]	,	[-4.69  0.65 29.59]
14.14	,	[-4.15  0.72]	,	[-4.15  0.72 28.77]	,	[-4.15  0.72 28.77]
14.15	,	[-3.67  0.75]	,	[-3.67  0.75 27.98]	,	[-3.67  0.75 27.98]
14.16	,	[-3.23  0.74]	,	[-3.23  0.74 27.2 ]	,	[-3.23  0.74 27.2 ]
14.17	,	[-2.83  0.71]	,	[-2.83  0.71 26.45]	,	[-2.83  0.71 26.45]
14.18	,	[-2.48  0.66]	,	[-2.48  0.66 25.73]	,	[-2.48  0.66 25.73]
14.19	,	[-2.16  0.59]	,	[-2.16  0.59 25.03]	,	[-2.16  0.59 25.03]
14.2	,	[-1.89  0.52]	,	[-1.89  0.52 24.35]	,	[-1.89  0.52 24.35]
14.21	,	[-1.65  0.45]	,	[-1.65  0.45 23.69]	,	[-1.65  0.45 23.69]
14.22	,	[-1.44  0.37]	,	[-1.44  0.37 23.05]	,	[-1.44  0.37 23.05]
14.23	,	[-1.26  0.3 ]	,	[-1.26  0.3  22.43]	,	[-1.26  0.3  22.43]
14.24	,	[-1.1   0.22]	,	[-1.1   0.22 21.83]	,	[-1.1   0.22 21.83]
14.25	,	[-0.97  0.15]	,	[-0.97  0.15 21.24]	,	[-0.97  0.15 21.24]
14.26	,	[-0.86  0.09]	,	[-0.86  0.09 20.67]	,	[-0.86  0.09 20.67]
14.27	,	[-0.76  0.02]	,	[-7.600e-01  2.000e-02  2.012e+01]	,	[-7.600e-01  2.000e-02  2.012e+01]
14.28	,	[-0.68 -0.04]	,	[-0.68 -0.04 19.59]	,	[-0.68 -0.04 19.59]
14.29	,	[-0.62 -0.09]	,	[-0.62 -0.09 19.06]	,	[-0.62 -0.09 19.06]
14.3	,	[-0.57 -0.15]	,	[-0.57 -0.15 18.56]	,	[-0.57 -0.15 18.56]
14.31	,	[-0.52 -0.2 ]	,	[-0.52 -0.2  18.06]	,	[-0.52 -0.2  18.06]
14.32	,	[-0.49 -0.25]	,	[-0.49 -0.25 17.58]	,	[-0.49 -0.25 17.58]
14.33	,	[-0.47 -0.3 ]	,	[-0.47 -0.3  17.11]	,	[-0.47 -0.3  17.11]
14.34	,	[-0.45 -0.35]	,	[-0.45 -0.35 16.66]	,	[-0.45 -0.35 16.66]
14.35	,	[-0.44 -0.39]	,	[-0.44 -0.39 16.22]	,	[-0.44 -0.39 16.22]
14.36	,	[-0.44 -0.44]	,	[-0.44 -0.44 15.79]	,	[-0.44 -0.44 15.79]
14.37	,	[-0.44 -0.49]	,	[-0.44 -0.49 15.37]	,	[-0.44 -0.49 15.37]
14.38	,	[-0.44 -0.54]	,	[-0.44 -0.54 14.96]	,	[-0.44 -0.54 14.96]
14.39	,	[-0.45 -0.59]	,	[-0.45 -0.59 14.56]	,	[-0.45 -0.59 14.56]
14.4	,	[-0.47 -0.65]	,	[-0.47 -0.65 14.18]	,	[-0.47 -0.65 14.18]
14.41	,	[-0.48 -0.71]	,	[-0.48 -0.71 13.8 ]	,	[-0.48 -0.71 13.8 ]
14.42	,	[-0.51 -0.77]	,	[-0.51 -0.77 13.44]	,	[-0.51 -0.77 13.44]
14.43	,	[-0.53 -0.83]	,	[-0.53 -0.83 13.08]	,	[-0.53 -0.83 13.08]
14.44	,	[-0.56 -0.9 ]	,	[-0.56 -0.9  12.74]	,	[-0.56 -0.9  12.74]
14.45	,	[-0.6  -0.98]	,	[-0.6  -0.98 12.4 ]	,	[-0.6  -0.98 12.4 ]
14.46	,	[-0.63 -1.06]	,	[-0.63 -1.06 12.08]	,	[-0.63 -1.06 12.08]
14.47	,	[-0.68 -1.15]	,	[-0.68 -1.15 11.76]	,	[-0.68 -1.15 11.76]
14.48	,	[-0.73 -1.25]	,	[-0.73 -1.25 11.46]	,	[-0.73 -1.25 11.46]
14.49	,	[-0.78 -1.36]	,	[-0.78 -1.36 11.16]	,	[-0.78 -1.36 11.16]
14.5	,	[-0.84 -1.48]	,	[-0.84 -1.48 10.87]	,	[-0.84 -1.48 10.87]
14.51	,	[-0.9  -1.61]	,	[-0.9  -1.61 10.6 ]	,	[-0.9  -1.61 10.6 ]
14.52	,	[-0.97 -1.75]	,	[-0.97 -1.75 10.33]	,	[-0.97 -1.75 10.33]
14.53	,	[-1.05 -1.9 ]	,	[-1.05 -1.9  10.07]	,	[-1.05 -1.9  10.07]
14.54	,	[-1.13 -2.07]	,	[-1.13 -2.07  9.82]	,	[-1.13 -2.07  9.82]
14.55	,	[-1.23 -2.26]	,	[-1.23 -2.26  9.58]	,	[-1.23 -2.26  9.58]
14.56	,	[-1.33 -2.46]	,	[-1.33 -2.46  9.35]	,	[-1.33 -2.46  9.35]
14.57	,	[-1.44 -2.68]	,	[-1.44 -2.68  9.14]	,	[-1.44 -2.68  9.14]
14.58	,	[-1.57 -2.93]	,	[-1.57 -2.93  8.93]	,	[-1.57 -2.93  8.93]
14.59	,	[-1.7 -3.2]	,	[-1.7  -3.2   8.74]	,	[-1.7  -3.2   8.74]
14.6	,	[-1.85 -3.49]	,	[-1.85 -3.49  8.56]	,	[-1.85 -3.49  8.56]
14.61	,	[-2.02 -3.82]	,	[-2.02 -3.82  8.4 ]	,	[-2.02 -3.82  8.4 ]
14.62	,	[-2.2  -4.17]	,	[-2.2  -4.17  8.25]	,	[-2.2  -4.17  8.25]
14.63	,	[-2.39 -4.57]	,	[-2.39 -4.57  8.12]	,	[-2.39 -4.57  8.12]
14.64	,	[-2.61 -5.  ]	,	[-2.61 -5.    8.02]	,	[-2.61 -5.    8.02]
14.65	,	[-2.85 -5.47]	,	[-2.85 -5.47  7.93]	,	[-2.85 -5.47  7.93]
14.66	,	[-3.11 -5.99]	,	[-3.11 -5.99  7.88]	,	[-3.11 -5.99  7.88]
14.67	,	[-3.4  -6.55]	,	[-3.4  -6.55  7.85]	,	[-3.4  -6.55  7.85]
14.68	,	[-3.71 -7.17]	,	[-3.71 -7.17  7.87]	,	[-3.71 -7.17  7.87]
14.69	,	[-4.06 -7.85]	,	[-4.06 -7.85  7.92]	,	[-4.06 -7.85  7.92]
14.7	,	[-4.44 -8.59]	,	[-4.44 -8.59  8.03]	,	[-4.44 -8.59  8.03]
14.71	,	[-4.85 -9.39]	,	[-4.85 -9.39  8.2 ]	,	[-4.85 -9.39  8.2 ]
14.72	,	[ -5.31 -10.25]	,	[ -5.31 -10.25   8.43]	,	[ -5.31 -10.25   8.43]
14.73	,	[ -5.8  -11.19]	,	[ -5.8  -11.19   8.75]	,	[ -5.8  -11.19   8.75]
14.74	,	[ -6.34 -12.19]	,	[ -6.34 -12.19   9.17]	,	[ -6.34 -12.19   9.17]
14.75	,	[ -6.93 -13.27]	,	[ -6.93 -13.27   9.7 ]	,	[ -6.93 -13.27   9.7 ]
14.76	,	[ -7.56 -14.4 ]	,	[ -7.56 -14.4   10.36]	,	[ -7.56 -14.4   10.36]
14.77	,	[ -8.24 -15.59]	,	[ -8.24 -15.59  11.17]	,	[ -8.24 -15.59  11.17]
14.78	,	[ -8.98 -16.82]	,	[ -8.98 -16.82  12.16]	,	[ -8.98 -16.82  12.16]
14.79	,	[ -9.76 -18.08]	,	[ -9.76 -18.08  13.34]	,	[ -9.76 -18.08  13.34]
14.8	,	[-10.59 -19.33]	,	[-10.59 -19.33  14.75]	,	[-10.59 -19.33  14.75]
14.81	,	[-11.47 -20.54]	,	[-11.47 -20.54  16.41]	,	[-11.47 -20.54  16.41]
14.82	,	[-12.37 -21.66]	,	[-12.37 -21.66  18.32]	,	[-12.37 -21.66  18.32]
14.83	,	[-13.3  -22.64]	,	[-13.3  -22.64  20.52]	,	[-13.3  -22.64  20.52]
14.84	,	[-14.24 -23.41]	,	[-14.24 -23.41  22.98]	,	[-14.24 -23.41  22.98]
14.85	,	[-15.15 -23.89]	,	[-15.15 -23.89  25.7 ]	,	[-15.15 -23.89  25.7 ]
14.86	,	[-16.03 -24.  ]	,	[-16.03 -24.    28.64]	,	[-16.03 -24.    28.64]
14.87	,	[-16.82 -23.66]	,	[-16.82 -23.66  31.72]	,	[-16.82 -23.66  31.72]
14.88	,	[-17.51 -22.8 ]	,	[-17.51 -22.8   34.85]	,	[-17.51 -22.8   34.85]
14.89	,	[-18.04 -21.37]	,	[-18.04 -21.37  37.91]	,	[-18.04 -21.37  37.91]
14.9	,	[-18.37 -19.37]	,	[-18.37 -19.37  40.76]	,	[-18.37 -19.37  40.76]
14.91	,	[-18.47 -16.83]	,	[-18.47 -16.83  43.23]	,	[-18.47 -16.83  43.23]
14.92	,	[-18.31 -13.85]	,	[-18.31 -13.85  45.18]	,	[-18.31 -13.85  45.18]
14.93	,	[-17.86 -10.56]	,	[-17.86 -10.56  46.51]	,	[-17.86 -10.56  46.51]
14.94	,	[-17.13  -7.15]	,	[-17.13  -7.15  47.16]	,	[-17.13  -7.15  47.16]
14.95	,	[-16.13  -3.8 ]	,	[-16.13  -3.8   47.13]	,	[-16.13  -3.8   47.13]
14.96	,	[-14.9   -0.67]	,	[-14.9   -0.67  46.48]	,	[-14.9   -0.67  46.48]
14.97	,	[-13.48   2.09]	,	[-13.48   2.09  45.34]	,	[-13.48   2.09  45.34]
14.98	,	[-11.92   4.4 ]	,	[-11.92   4.4   43.85]	,	[-11.92   4.4   43.85]
14.99	,	[-10.29   6.25]	,	[-10.29   6.25  42.16]	,	[-10.29   6.25  42.16]
15.0	,	[-8.63  7.64]	,	[-8.63  7.64 40.39]	,	[-8.63  7.64 40.39]
15.01	,	[-7.01  8.64]	,	[-7.01  8.64 38.66]	,	[-7.01  8.64 38.66]
15.02	,	[-5.44  9.3 ]	,	[-5.44  9.3  37.02]	,	[-5.44  9.3  37.02]
15.03	,	[-3.97  9.69]	,	[-3.97  9.69 35.53]	,	[-3.97  9.69 35.53]
15.04	,	[-2.6  9.9]	,	[-2.6   9.9  34.19]	,	[-2.6   9.9  34.19]
15.05	,	[-1.35  9.96]	,	[-1.35  9.96 33.03]	,	[-1.35  9.96 33.03]
15.06	,	[-0.22  9.93]	,	[-0.22  9.93 32.01]	,	[-0.22  9.93 32.01]
15.07	,	[0.79 9.84]	,	[ 0.79  9.84 31.13]	,	[ 0.79  9.84 31.13]
15.08	,	[1.7  9.71]	,	[ 1.7   9.71 30.38]	,	[ 1.7   9.71 30.38]
15.09	,	[2.5  9.58]	,	[ 2.5   9.58 29.74]	,	[ 2.5   9.58 29.74]
15.1	,	[3.21 9.44]	,	[ 3.21  9.44 29.18]	,	[ 3.21  9.44 29.18]
15.11	,	[3.83 9.3 ]	,	[ 3.83  9.3  28.71]	,	[ 3.83  9.3  28.71]
15.12	,	[4.38 9.18]	,	[ 4.38  9.18 28.3 ]	,	[ 4.38  9.18 28.3 ]
15.13	,	[4.86 9.08]	,	[ 4.86  9.08 27.95]	,	[ 4.86  9.08 27.95]
15.14	,	[5.28 8.99]	,	[ 5.28  8.99 27.64]	,	[ 5.28  8.99 27.64]
15.15	,	[5.65 8.92]	,	[ 5.65  8.92 27.38]	,	[ 5.65  8.92 27.38]
15.16	,	[5.98 8.87]	,	[ 5.98  8.87 27.15]	,	[ 5.98  8.87 27.15]
15.17	,	[6.27 8.83]	,	[ 6.27  8.83 26.96]	,	[ 6.27  8.83 26.96]
15.18	,	[6.52 8.8 ]	,	[ 6.52  8.8  26.79]	,	[ 6.52  8.8  26.79]
15.19	,	[6.75 8.8 ]	,	[ 6.75  8.8  26.65]	,	[ 6.75  8.8  26.65]
15.2	,	[6.96 8.8 ]	,	[ 6.96  8.8  26.54]	,	[ 6.96  8.8  26.54]
15.21	,	[7.14 8.81]	,	[ 7.14  8.81 26.44]	,	[ 7.14  8.81 26.44]
15.22	,	[7.31 8.84]	,	[ 7.31  8.84 26.37]	,	[ 7.31  8.84 26.37]
15.23	,	[7.46 8.87]	,	[ 7.46  8.87 26.31]	,	[ 7.46  8.87 26.31]
15.24	,	[7.6 8.9]	,	[ 7.6   8.9  26.27]	,	[ 7.6   8.9  26.27]
15.25	,	[7.73 8.95]	,	[ 7.73  8.95 26.24]	,	[ 7.73  8.95 26.24]
15.26	,	[7.85 8.99]	,	[ 7.85  8.99 26.24]	,	[ 7.85  8.99 26.24]
15.27	,	[7.97 9.04]	,	[ 7.97  9.04 26.24]	,	[ 7.97  9.04 26.24]
15.28	,	[8.07 9.09]	,	[ 8.07  9.09 26.26]	,	[ 8.07  9.09 26.26]
15.29	,	[8.18 9.14]	,	[ 8.18  9.14 26.3 ]	,	[ 8.18  9.14 26.3 ]
15.3	,	[8.27 9.19]	,	[ 8.27  9.19 26.34]	,	[ 8.27  9.19 26.34]
15.31	,	[8.36 9.23]	,	[ 8.36  9.23 26.4 ]	,	[ 8.36  9.23 26.4 ]
15.32	,	[8.45 9.28]	,	[ 8.45  9.28 26.47]	,	[ 8.45  9.28 26.47]
15.33	,	[8.53 9.31]	,	[ 8.53  9.31 26.55]	,	[ 8.53  9.31 26.55]
15.34	,	[8.61 9.34]	,	[ 8.61  9.34 26.63]	,	[ 8.61  9.34 26.63]
15.35	,	[8.68 9.37]	,	[ 8.68  9.37 26.73]	,	[ 8.68  9.37 26.73]
15.36	,	[8.75 9.38]	,	[ 8.75  9.38 26.83]	,	[ 8.75  9.38 26.83]
15.37	,	[8.82 9.39]	,	[ 8.82  9.39 26.93]	,	[ 8.82  9.39 26.93]
15.38	,	[8.87 9.39]	,	[ 8.87  9.39 27.04]	,	[ 8.87  9.39 27.04]
15.39	,	[8.93 9.38]	,	[ 8.93  9.38 27.16]	,	[ 8.93  9.38 27.16]
15.4	,	[8.97 9.36]	,	[ 8.97  9.36 27.27]	,	[ 8.97  9.36 27.27]
15.41	,	[9.01 9.34]	,	[ 9.01  9.34 27.38]	,	[ 9.01  9.34 27.38]
15.42	,	[9.04 9.3 ]	,	[ 9.04  9.3  27.49]	,	[ 9.04  9.3  27.49]
15.43	,	[9.07 9.25]	,	[ 9.07  9.25 27.6 ]	,	[ 9.07  9.25 27.6 ]
15.44	,	[9.09 9.2 ]	,	[ 9.09  9.2  27.7 ]	,	[ 9.09  9.2  27.7 ]
15.45	,	[9.1  9.13]	,	[ 9.1   9.13 27.8 ]	,	[ 9.1   9.13 27.8 ]
15.46	,	[9.1  9.06]	,	[ 9.1   9.06 27.89]	,	[ 9.1   9.06 27.89]
15.47	,	[9.1  8.98]	,	[ 9.1   8.98 27.97]	,	[ 9.1   8.98 27.97]
15.48	,	[9.08 8.89]	,	[ 9.08  8.89 28.04]	,	[ 9.08  8.89 28.04]
15.49	,	[9.07 8.8 ]	,	[ 9.07  8.8  28.1 ]	,	[ 9.07  8.8  28.1 ]
15.5	,	[9.04 8.7 ]	,	[ 9.04  8.7  28.15]	,	[ 9.04  8.7  28.15]
15.51	,	[9.  8.6]	,	[ 9.    8.6  28.19]	,	[ 9.    8.6  28.19]
15.52	,	[8.96 8.5 ]	,	[ 8.96  8.5  28.21]	,	[ 8.96  8.5  28.21]
15.53	,	[8.92 8.39]	,	[ 8.92  8.39 28.22]	,	[ 8.92  8.39 28.22]
15.54	,	[8.86 8.29]	,	[ 8.86  8.29 28.21]	,	[ 8.86  8.29 28.21]
15.55	,	[8.81 8.19]	,	[ 8.81  8.19 28.2 ]	,	[ 8.81  8.19 28.2 ]
15.56	,	[8.75 8.09]	,	[ 8.75  8.09 28.16]	,	[ 8.75  8.09 28.16]
15.57	,	[8.68 7.99]	,	[ 8.68  7.99 28.12]	,	[ 8.68  7.99 28.12]
15.58	,	[8.61 7.9 ]	,	[ 8.61  7.9  28.07]	,	[ 8.61  7.9  28.07]
15.59	,	[8.54 7.82]	,	[ 8.54  7.82 28.  ]	,	[ 8.54  7.82 28.  ]
15.6	,	[8.47 7.74]	,	[ 8.47  7.74 27.92]	,	[ 8.47  7.74 27.92]
15.61	,	[8.4  7.67]	,	[ 8.4   7.67 27.83]	,	[ 8.4   7.67 27.83]
15.62	,	[8.32 7.61]	,	[ 8.32  7.61 27.73]	,	[ 8.32  7.61 27.73]
15.63	,	[8.25 7.55]	,	[ 8.25  7.55 27.62]	,	[ 8.25  7.55 27.62]
15.64	,	[8.18 7.51]	,	[ 8.18  7.51 27.51]	,	[ 8.18  7.51 27.51]
15.65	,	[8.11 7.47]	,	[ 8.11  7.47 27.39]	,	[ 8.11  7.47 27.39]
15.66	,	[8.05 7.45]	,	[ 8.05  7.45 27.27]	,	[ 8.05  7.45 27.27]
15.67	,	[7.99 7.43]	,	[ 7.99  7.43 27.14]	,	[ 7.99  7.43 27.14]
15.68	,	[7.93 7.43]	,	[ 7.93  7.43 27.01]	,	[ 7.93  7.43 27.01]
15.69	,	[7.88 7.43]	,	[ 7.88  7.43 26.88]	,	[ 7.88  7.43 26.88]
15.7	,	[7.84 7.45]	,	[ 7.84  7.45 26.75]	,	[ 7.84  7.45 26.75]
15.71	,	[7.8  7.47]	,	[ 7.8   7.47 26.62]	,	[ 7.8   7.47 26.62]
15.72	,	[7.77 7.5 ]	,	[ 7.77  7.5  26.49]	,	[ 7.77  7.5  26.49]
15.73	,	[7.74 7.54]	,	[ 7.74  7.54 26.37]	,	[ 7.74  7.54 26.37]
15.74	,	[7.72 7.6 ]	,	[ 7.72  7.6  26.25]	,	[ 7.72  7.6  26.25]
15.75	,	[7.71 7.65]	,	[ 7.71  7.65 26.14]	,	[ 7.71  7.65 26.14]
15.76	,	[7.7  7.72]	,	[ 7.7   7.72 26.03]	,	[ 7.7   7.72 26.03]
15.77	,	[7.7 7.8]	,	[ 7.7   7.8  25.93]	,	[ 7.7   7.8  25.93]
15.78	,	[7.71 7.88]	,	[ 7.71  7.88 25.84]	,	[ 7.71  7.88 25.84]
15.79	,	[7.73 7.97]	,	[ 7.73  7.97 25.76]	,	[ 7.73  7.97 25.76]
15.8	,	[7.75 8.06]	,	[ 7.75  8.06 25.69]	,	[ 7.75  8.06 25.69]
15.81	,	[7.78 8.16]	,	[ 7.78  8.16 25.63]	,	[ 7.78  8.16 25.63]
15.82	,	[7.82 8.26]	,	[ 7.82  8.26 25.58]	,	[ 7.82  8.26 25.58]
15.83	,	[7.87 8.37]	,	[ 7.87  8.37 25.54]	,	[ 7.87  8.37 25.54]
15.84	,	[7.92 8.48]	,	[ 7.92  8.48 25.52]	,	[ 7.92  8.48 25.52]
15.85	,	[7.97 8.59]	,	[ 7.97  8.59 25.51]	,	[ 7.97  8.59 25.51]
15.86	,	[8.03 8.7 ]	,	[ 8.03  8.7  25.51]	,	[ 8.03  8.7  25.51]
15.87	,	[8.1  8.82]	,	[ 8.1   8.82 25.53]	,	[ 8.1   8.82 25.53]
15.88	,	[8.17 8.93]	,	[ 8.17  8.93 25.57]	,	[ 8.17  8.93 25.57]
15.89	,	[8.25 9.04]	,	[ 8.25  9.04 25.61]	,	[ 8.25  9.04 25.61]
15.9	,	[8.33 9.14]	,	[ 8.33  9.14 25.68]	,	[ 8.33  9.14 25.68]
15.91	,	[8.41 9.25]	,	[ 8.41  9.25 25.75]	,	[ 8.41  9.25 25.75]
15.92	,	[8.49 9.34]	,	[ 8.49  9.34 25.84]	,	[ 8.49  9.34 25.84]
15.93	,	[8.58 9.43]	,	[ 8.58  9.43 25.95]	,	[ 8.58  9.43 25.95]
15.94	,	[8.66 9.51]	,	[ 8.66  9.51 26.06]	,	[ 8.66  9.51 26.06]
15.95	,	[8.75 9.59]	,	[ 8.75  9.59 26.19]	,	[ 8.75  9.59 26.19]
15.96	,	[8.83 9.65]	,	[ 8.83  9.65 26.33]	,	[ 8.83  9.65 26.33]
15.97	,	[8.91 9.7 ]	,	[ 8.91  9.7  26.48]	,	[ 8.91  9.7  26.48]
15.98	,	[8.99 9.74]	,	[ 8.99  9.74 26.64]	,	[ 8.99  9.74 26.64]
15.99	,	[9.07 9.76]	,	[ 9.07  9.76 26.81]	,	[ 9.07  9.76 26.81]
16.0	,	[9.14 9.77]	,	[ 9.14  9.77 26.98]	,	[ 9.14  9.77 26.98]
16.01	,	[9.2  9.77]	,	[ 9.2   9.77 27.15]	,	[ 9.2   9.77 27.15]
16.02	,	[9.26 9.75]	,	[ 9.26  9.75 27.32]	,	[ 9.26  9.75 27.32]
16.03	,	[9.31 9.71]	,	[ 9.31  9.71 27.5 ]	,	[ 9.31  9.71 27.5 ]
16.04	,	[9.35 9.66]	,	[ 9.35  9.66 27.67]	,	[ 9.35  9.66 27.67]
16.05	,	[9.38 9.6 ]	,	[ 9.38  9.6  27.83]	,	[ 9.38  9.6  27.83]
16.06	,	[9.4  9.52]	,	[ 9.4   9.52 27.99]	,	[ 9.4   9.52 27.99]
16.07	,	[9.41 9.42]	,	[ 9.41  9.42 28.14]	,	[ 9.41  9.42 28.14]
16.08	,	[9.41 9.32]	,	[ 9.41  9.32 28.28]	,	[ 9.41  9.32 28.28]
16.09	,	[9.4 9.2]	,	[ 9.4  9.2 28.4]	,	[ 9.4  9.2 28.4]
16.1	,	[9.38 9.07]	,	[ 9.38  9.07 28.51]	,	[ 9.38  9.07 28.51]
16.11	,	[9.35 8.93]	,	[ 9.35  8.93 28.6 ]	,	[ 9.35  8.93 28.6 ]
16.12	,	[9.31 8.78]	,	[ 9.31  8.78 28.67]	,	[ 9.31  8.78 28.67]
16.13	,	[9.26 8.63]	,	[ 9.26  8.63 28.72]	,	[ 9.26  8.63 28.72]
16.14	,	[9.19 8.48]	,	[ 9.19  8.48 28.76]	,	[ 9.19  8.48 28.76]
16.15	,	[9.12 8.33]	,	[ 9.12  8.33 28.77]	,	[ 9.12  8.33 28.77]
16.16	,	[9.04 8.17]	,	[ 9.04  8.17 28.76]	,	[ 9.04  8.17 28.76]
16.17	,	[8.96 8.02]	,	[ 8.96  8.02 28.73]	,	[ 8.96  8.02 28.73]
16.18	,	[8.86 7.88]	,	[ 8.86  7.88 28.68]	,	[ 8.86  7.88 28.68]
16.19	,	[8.76 7.74]	,	[ 8.76  7.74 28.62]	,	[ 8.76  7.74 28.62]
16.2	,	[8.66 7.6 ]	,	[ 8.66  7.6  28.53]	,	[ 8.66  7.6  28.53]
16.21	,	[8.56 7.48]	,	[ 8.56  7.48 28.43]	,	[ 8.56  7.48 28.43]
16.22	,	[8.45 7.37]	,	[ 8.45  7.37 28.31]	,	[ 8.45  7.37 28.31]
16.23	,	[8.34 7.27]	,	[ 8.34  7.27 28.18]	,	[ 8.34  7.27 28.18]
16.24	,	[8.23 7.18]	,	[ 8.23  7.18 28.04]	,	[ 8.23  7.18 28.04]
16.25	,	[8.13 7.11]	,	[ 8.13  7.11 27.88]	,	[ 8.13  7.11 27.88]
16.26	,	[8.03 7.05]	,	[ 8.03  7.05 27.71]	,	[ 8.03  7.05 27.71]
16.27	,	[7.93 7.  ]	,	[ 7.93  7.   27.54]	,	[ 7.93  7.   27.54]
16.28	,	[7.84 6.97]	,	[ 7.84  6.97 27.36]	,	[ 7.84  6.97 27.36]
16.29	,	[7.75 6.95]	,	[ 7.75  6.95 27.18]	,	[ 7.75  6.95 27.18]
16.3	,	[7.67 6.94]	,	[ 7.67  6.94 26.99]	,	[ 7.67  6.94 26.99]
16.31	,	[7.6  6.95]	,	[ 7.6   6.95 26.8 ]	,	[ 7.6   6.95 26.8 ]
16.32	,	[7.53 6.97]	,	[ 7.53  6.97 26.62]	,	[ 7.53  6.97 26.62]
16.33	,	[7.47 7.01]	,	[ 7.47  7.01 26.43]	,	[ 7.47  7.01 26.43]
16.34	,	[7.43 7.05]	,	[ 7.43  7.05 26.25]	,	[ 7.43  7.05 26.25]
16.35	,	[7.39 7.11]	,	[ 7.39  7.11 26.07]	,	[ 7.39  7.11 26.07]
16.36	,	[7.36 7.18]	,	[ 7.36  7.18 25.9 ]	,	[ 7.36  7.18 25.9 ]
16.37	,	[7.34 7.27]	,	[ 7.34  7.27 25.74]	,	[ 7.34  7.27 25.74]
16.38	,	[7.34 7.36]	,	[ 7.34  7.36 25.59]	,	[ 7.34  7.36 25.59]
16.39	,	[7.34 7.46]	,	[ 7.34  7.46 25.45]	,	[ 7.34  7.46 25.45]
16.4	,	[7.35 7.57]	,	[ 7.35  7.57 25.32]	,	[ 7.35  7.57 25.32]
16.41	,	[7.37 7.7 ]	,	[ 7.37  7.7  25.2 ]	,	[ 7.37  7.7  25.2 ]
16.42	,	[7.41 7.83]	,	[ 7.41  7.83 25.09]	,	[ 7.41  7.83 25.09]
16.43	,	[7.45 7.96]	,	[ 7.45  7.96 25.  ]	,	[ 7.45  7.96 25.  ]
16.44	,	[7.5  8.11]	,	[ 7.5   8.11 24.93]	,	[ 7.5   8.11 24.93]
16.45	,	[7.56 8.26]	,	[ 7.56  8.26 24.87]	,	[ 7.56  8.26 24.87]
16.46	,	[7.63 8.41]	,	[ 7.63  8.41 24.83]	,	[ 7.63  8.41 24.83]
16.47	,	[7.71 8.57]	,	[ 7.71  8.57 24.81]	,	[ 7.71  8.57 24.81]
16.48	,	[7.79 8.73]	,	[ 7.79  8.73 24.81]	,	[ 7.79  8.73 24.81]
16.49	,	[7.89 8.89]	,	[ 7.89  8.89 24.83]	,	[ 7.89  8.89 24.83]
